feature,mean_abs_shap,sd_abs_shap
detailed_time_period,0.83851033,0.015668506
headway_minutes,0.4972127,0.023560312
Direction,0.29903716,0.0043631797
student_rate,0.18966779,0.011919327
retail_count_osm_400m,0.14314349,0.008645778
age_65_plus_rate_refined,0.13706443,0.011641832
barriers_housing_services_score_2025,0.07367688,0.013187708
education_skills_training_score_2025,0.057829242,0.006264092
employment_rate,0.054204494,0.002218053
crime_score_2025,0.051127136,0.007144622
work_from_home_rate_2021,0.049929053,0.004083196
living_environment_score_2025,0.04991314,0.006035829
no_car_rate,0.046736103,0.0056811445
employment_count_osm_400m,0.04051024,0.00427593
female_rate,0.03707726,0.0050112437
age_0_14_rate,0.030265749,0.005725961
healthcare_count_osm_400m,0.029474204,0.0013603028
education_count_osm_400m,0.027914971,0.003189921
log_population_total,0.027360912,0.00090066064
