feature,mean_abs_shap,sd_abs_shap
detailed_time_period,0.8423027,0.01652848
headway_minutes,0.50168884,0.023784235
Direction,0.2972229,0.006536108
student_rate,0.18013212,0.014177439
age_65_plus_rate_refined,0.14993891,0.010469075
retail_count_osm_400m,0.14172205,0.004315466
barriers_housing_services_score_2025,0.06707779,0.009726939
work_from_home_rate_2021,0.06205771,0.011334293
education_skills_training_score_2025,0.049967915,0.0025238872
living_environment_score_2025,0.049446456,0.0034396728
employment_rate,0.048215993,0.0066200267
no_car_rate,0.045426555,0.006415438
crime_score_2025,0.04389921,0.0043781986
employment_count_osm_400m,0.038699903,0.007356458
age_0_14_rate,0.03220315,0.006478994
female_rate,0.031182757,0.0039435783
education_count_osm_400m,0.027816117,0.0019831685
healthcare_count_osm_400m,0.027326126,0.0038368849
log_population_total,0.026226357,0.0021322784
activity_limiting_disability_rate,0.016976591,0.0024465723
poor_general_health_rate,0.016901333,0.0014614686
health_deprivation_disability_score_2025,0.011619965,0.0024182573
