LSOA21CD,maximum_p90_passengers,maximum_p90_capacity_pct,median_p90_capacity_pct,maximum_p90_pmd_tkm,median_p90_pmd_tkm,LSOA21NM,demand_occurrence,demand_occurrence_z,health_vulnerability_z,health_demand_gap,higher_health,lower_demand,health_demand_group,health_demand_divergence,highest_loading_direction,highest_loading_period,highest_loading_p90_passengers,highest_loading_capacity_pct,pmd_under_highest_loading_condition,higher_operational_pressure,higher_pmd_burden,planning_context
E01005063,34.0,34.0,22.5,0.6859907999999977,0.4472523335999995,Manchester 018C,0.606076479832373,0.37079668464730675,0.42708849797163084,0.05629181332432409,True,False,B. Higher health vulnerability + Higher demand,False,Hazel Grove to Manchester,Night/Early morning off-peak,34.0,34.0,0.6859907999999977,False,False,Health-sensitive service monitoring
E01005065,34.0,34.0,21.0,0.7906128120000004,0.4831522740000002,Manchester 018D,0.5825327510917031,0.2037070111776511,0.3082910002887034,0.10458398911105227,True,True,A. Higher health vulnerability + Lower demand,True,Hazel Grove to Manchester,Night/Early morning off-peak,34.0,34.0,0.7906128120000004,False,False,Equity/accessibility investigation
E01005215,38.900000000000006,38.900000000000006,24.050000000000004,1.0090829603999998,0.6238674144000014,Manchester 034C,0.6141732283464567,0.4282592505936757,-0.5208489650953796,-0.9491082156890553,False,False,D. Lower health vulnerability + Higher demand,False,Hazel Grove to Manchester,Night/Early morning off-peak,38.900000000000006,38.900000000000006,1.0090829603999998,False,False,Demand-led service monitoring
E01005216,41.0,41.0,24.0,0.6248744399999977,0.3657801599999996,Manchester 034D,0.6469816272965879,0.6611002218783133,-0.7971279152416139,-1.458228137119927,False,False,D. Lower health vulnerability + Higher demand,False,Hazel Grove to Manchester,Night/Early morning off-peak,41.0,41.0,0.6248744399999977,False,False,Demand-led service monitoring
E01005219,41.900000000000006,41.900000000000006,24.10000000000001,0.798268367599998,0.43842836119999956,Manchester 031A,0.6404199475065617,0.6145320276213861,0.0814665391547996,-0.5330654884665865,True,False,B. Higher health vulnerability + Higher demand,False,Hazel Grove to Manchester,Night/Early morning off-peak,41.900000000000006,41.900000000000006,0.798268367599998,False,False,Health-sensitive service monitoring
E01005221,75.19999999999999,75.19999999999999,28.5,1.0181783072000008,0.46624624660000125,Manchester 031C,0.6572475143903715,0.7339571487173306,-0.776836852459658,-1.5107940011769885,False,False,D. Lower health vulnerability + Higher demand,False,Manchester to Hazel Grove,AM peak,75.19999999999999,75.19999999999999,1.0181783072000008,True,False,Operational capacity / reliability priority
E01005222,74.0,74.0,34.0,1.493051112,1.0558004292000007,Manchester 031D,0.6174934725848564,0.45182300006363024,0.6985044983944073,0.24668149833077707,True,False,B. Higher health vulnerability + Higher demand,False,Manchester to Hazel Grove,AM peak,74.0,74.0,1.493051112,True,True,Service protection / capacity priority
E01005232,56.0,56.00000000000001,24.0,1.9211588480000013,0.5852613528000001,Manchester 020C,0.6564136125654451,0.7280389534659547,0.42650693686992247,-0.30153201659603224,True,False,B. Higher health vulnerability + Higher demand,False,Manchester to Hazel Grove,AM peak,56.0,56.00000000000001,1.9211588480000013,False,True,Health-sensitive service monitoring
E01005234,56.900000000000006,56.900000000000006,25.5,1.1480444079999983,0.5987901873999993,Manchester 063A,0.6091703056768559,0.39275354440476945,-0.4499749619218705,-0.8427285063266399,False,False,D. Lower health vulnerability + Higher demand,False,Manchester to Hazel Grove,AM peak,56.900000000000006,56.900000000000006,0.8604056115999985,True,True,Operational capacity / reliability priority
E01005238,42.0,42.0,24.0,1.107062712000001,0.6326072640000007,Manchester 063D,0.5879265091863517,0.2419864735659653,-0.716053122131916,-0.9580395956978813,False,True,C. Lower health vulnerability + Lower demand,False,Hazel Grove to Manchester,Night/Early morning off-peak,42.0,42.0,1.107062712000001,False,True,Lower immediate combined priority
E01005239,45.0,45.0,28.0,0.9686106455999993,0.6923953663999998,Manchester 020E,0.7684943429068756,1.5234750902508576,1.4510127681388134,-0.07246232211204418,True,False,B. Higher health vulnerability + Higher demand,False,Manchester to Hazel Grove,AM peak,45.0,45.0,0.9686106455999993,False,False,Health-sensitive service monitoring
E01005760,31.200000000000017,31.200000000000017,21.0,0.7024553952000008,0.47280651600000023,Stockport 023B,0.6650485436893204,0.7893209975216597,0.09246547170468157,-0.6968555258169782,True,False,B. Higher health vulnerability + Higher demand,False,Hazel Grove to Manchester,AM peak,31.200000000000017,31.200000000000017,0.7024553952000008,False,False,Health-sensitive service monitoring
E01005766,32.0,32.0,21.0,0.8321828303999994,0.5101394747999999,Stockport 014C,0.6197879858657244,0.46810714430836653,1.0995945072634077,0.6314873629550412,True,False,B. Higher health vulnerability + Higher demand,False,Hazel Grove to Manchester,AM peak,32.0,32.0,0.8321828303999994,False,False,Health-sensitive service monitoring
E01005797,30.0,30.0,20.200000000000003,0.4102722336000006,0.28285565600000007,Stockport 023C,0.662891046386192,0.7740092546850774,-0.03417173585954679,-0.8081809905446242,True,False,B. Higher health vulnerability + Higher demand,False,Hazel Grove to Manchester,AM peak,30.0,30.0,0.4102722336000006,False,False,Health-sensitive service monitoring
E01005798,26.0,26.0,19.25,0.4070316528000003,0.29257328439999997,Stockport 027A,0.6456310679611651,0.6515153119924217,0.8578803547198492,0.2063650427274275,True,False,B. Higher health vulnerability + Higher demand,False,Hazel Grove to Manchester,AM peak,26.0,26.0,0.4070316528000003,False,False,Health-sensitive service monitoring
E01005801,22.0,22.0,17.0,0.5141973000000001,0.37410254399999987,Stockport 027B,0.6153846153846154,0.43685645568726245,-0.7203719808159507,-1.157228436503213,False,False,D. Lower health vulnerability + Higher demand,False,Hazel Grove to Manchester,AM peak,22.0,22.0,0.5141973000000001,False,False,Demand-led service monitoring
E01005822,32.0,32.0,21.0,0.9856235520000006,0.6468154560000003,Stockport 016D,0.6476063829787234,0.6655341084591592,1.5043995273420478,0.8388654188828887,True,False,B. Higher health vulnerability + Higher demand,False,Hazel Grove to Manchester,AM peak,32.0,32.0,0.9856235520000006,False,False,Health-sensitive service monitoring
E01005825,28.0,28.000000000000004,17.0,0.5352560704000001,0.3597861844000002,Stockport 019A,0.26366559485530544,-2.0592909023049937,-0.5915840823702989,1.4677068199346948,False,True,C. Lower health vulnerability + Lower demand,False,Manchester to Hazel Grove,AM peak,28.0,28.000000000000004,0.5352560704000001,False,False,Lower immediate combined priority
E01005830,24.10000000000001,24.10000000000001,14.0,0.5449173880000004,0.31654952000000014,Stockport 027E,0.24758842443729903,-2.1733904650824174,-0.8311106701538108,1.3422797949286065,False,True,C. Lower health vulnerability + Lower demand,False,Manchester to Hazel Grove,AM peak,24.10000000000001,24.10000000000001,0.5449173880000004,False,False,Lower immediate combined priority
