LSOA21CD,LSOA21NM,demand_occurrence,higher_health_Combined,divergence_Combined,higher_health_Census_only,divergence_Census_only,higher_health_IoD_only,divergence_IoD_only,n_specs_flagged
E01005063,Manchester 018C,0.606076479832373,True,False,True,False,True,False,0
E01005065,Manchester 018D,0.5825327510917031,True,True,True,True,True,True,3
E01005215,Manchester 034C,0.6141732283464567,False,False,False,False,False,False,0
E01005216,Manchester 034D,0.6469816272965879,False,False,False,False,False,False,0
E01005219,Manchester 031A,0.6404199475065617,True,False,False,False,True,False,0
E01005221,Manchester 031C,0.6572475143903715,False,False,False,False,False,False,0
E01005222,Manchester 031D,0.6174934725848564,True,False,True,False,True,False,0
E01005232,Manchester 020C,0.6564136125654451,True,False,True,False,True,False,0
E01005234,Manchester 063A,0.6091703056768559,False,False,False,False,True,False,0
E01005238,Manchester 063D,0.5879265091863517,False,False,False,False,True,True,1
E01005239,Manchester 020E,0.7684943429068756,True,False,True,False,True,False,0
E01005760,Stockport 023B,0.6650485436893204,True,False,True,False,True,False,0
E01005766,Stockport 014C,0.6197879858657244,True,False,True,False,True,False,0
E01005797,Stockport 023C,0.662891046386192,True,False,True,False,True,False,0
E01005798,Stockport 027A,0.6456310679611651,True,False,True,False,False,False,0
E01005801,Stockport 027B,0.6153846153846154,False,False,False,False,False,False,0
E01005822,Stockport 016D,0.6476063829787234,True,False,True,False,True,False,0
E01005825,Stockport 019A,0.26366559485530544,False,False,True,True,False,False,1
E01005830,Stockport 027E,0.24758842443729903,False,False,False,False,False,False,0
E01005831,Stockport 027F,0.29508196721311475,False,False,False,False,False,False,0
E01005836,Stockport 031B,0.46064623032311514,True,True,True,True,False,False,2
E01005838,Stockport 031C,0.5541044776119403,False,False,False,False,False,False,0
E01005840,Stockport 031D,0.6091286307053941,True,False,True,False,False,False,0
E01005841,Stockport 035D,0.3843283582089552,False,False,False,False,False,False,0
E01005863,Stockport 006A,0.5804973821989529,False,False,False,False,False,False,0
E01005866,Stockport 006C,0.5741710296684118,False,False,False,False,False,False,0
E01005869,Stockport 006D,0.612892670157068,False,False,True,False,False,False,0
E01005874,Stockport 019C,0.2845659163987138,True,True,True,True,True,True,3
E01005877,Stockport 019E,0.2741157556270096,True,True,True,True,False,False,2
E01005916,Stockport 007C,0.5870418848167539,True,True,True,True,False,False,2
E01005917,Stockport 007D,0.5525196335078534,True,True,True,True,True,True,3
E01033653,Manchester 055B,0.36780104712041883,False,False,False,False,True,True,1
E01033654,Manchester 055C,0.5606159895150721,False,False,False,False,False,False,0
E01033661,Manchester 055E,0.762402088772846,False,False,False,False,True,False,0
E01033947,Stockport 014E,0.42370744010088274,True,True,True,True,True,True,3
E01033948,Stockport 014F,0.3766519823788546,True,True,True,True,True,True,3
E01034119,Manchester 022H,0.5400262467191601,True,True,False,False,True,True,2
E01034137,Manchester 063C,0.7069190600522193,False,False,False,False,False,False,0
E01034138,Manchester 064B,0.737597911227154,False,False,False,False,True,False,0
