hotspot_key,segment_id,stop_id,next_stop_id,Direction,detailed_time_period,LSOA21CD,p90_passengers,median_distance_m,assumed_passenger_mass_kg,p90_pmd_tkm_scenario,pmd_rank
133001 -> 135632 | Manchester to Hazel Grove | AM interpeak,133001 -> 135632,133001,135632,Manchester to Hazel Grove,AM interpeak,E01005869,25.0,252.27700000000004,68,0.42887090000000005,273.0
133001 -> 135632 | Manchester to Hazel Grove | AM peak,133001 -> 135632,133001,135632,Manchester to Hazel Grove,AM peak,E01005869,69.3,252.27700000000004,68,1.1888301348000003,20.0
133001 -> 135632 | Manchester to Hazel Grove | Evening off-peak,133001 -> 135632,133001,135632,Manchester to Hazel Grove,Evening off-peak,E01005869,14.0,252.27700000000004,68,0.24016770400000004,472.0
133001 -> 135632 | Manchester to Hazel Grove | Night/Early morning off-peak,133001 -> 135632,133001,135632,Manchester to Hazel Grove,Night/Early morning off-peak,E01005869,26.0,252.27700000000004,68,0.4460257360000001,257.0
133001 -> 135632 | Manchester to Hazel Grove | PM interpeak,133001 -> 135632,133001,135632,Manchester to Hazel Grove,PM interpeak,E01005869,46.60000000000001,252.27700000000004,68,0.7994153576000003,63.0
133001 -> 135632 | Manchester to Hazel Grove | PM peak,133001 -> 135632,133001,135632,Manchester to Hazel Grove,PM peak,E01005869,40.0,252.27700000000004,68,0.6861934400000002,101.0
133049 -> 135665 | Manchester to Hazel Grove | AM interpeak,133049 -> 135665,133049,135665,Manchester to Hazel Grove,AM interpeak,E01005874,27.0,214.71799999999894,68,0.39422224799999805,304.0
133049 -> 135665 | Manchester to Hazel Grove | AM peak,133049 -> 135665,133049,135665,Manchester to Hazel Grove,AM peak,E01005874,41.900000000000006,214.71799999999894,68,0.611774525599997,133.0
133049 -> 135665 | Manchester to Hazel Grove | Evening off-peak,133049 -> 135665,133049,135665,Manchester to Hazel Grove,Evening off-peak,E01005874,11.0,214.71799999999894,68,0.1606090639999992,555.0
133049 -> 135665 | Manchester to Hazel Grove | Night/Early morning off-peak,133049 -> 135665,133049,135665,Manchester to Hazel Grove,Night/Early morning off-peak,E01005874,15.600000000000009,214.71799999999894,68,0.227772854399999,488.0
133049 -> 135665 | Manchester to Hazel Grove | PM interpeak,133049 -> 135665,133049,135665,Manchester to Hazel Grove,PM interpeak,E01005874,30.0,214.71799999999894,68,0.43802471999999787,262.0
133049 -> 135665 | Manchester to Hazel Grove | PM peak,133049 -> 135665,133049,135665,Manchester to Hazel Grove,PM peak,E01005874,24.400000000000006,214.71799999999894,68,0.35626010559999827,350.0
133230 -> 133232 | Hazel Grove to Manchester | AM interpeak,133230 -> 133232,133230,133232,Hazel Grove to Manchester,AM interpeak,E01005866,12.0,308.5690000000004,68,0.2517923040000003,458.0
133230 -> 133232 | Hazel Grove to Manchester | AM peak,133230 -> 133232,133230,133232,Hazel Grove to Manchester,AM peak,E01005866,21.0,308.5699999999997,68,0.44063795999999955,260.0
133230 -> 133232 | Hazel Grove to Manchester | Evening off-peak,133230 -> 133232,133230,133232,Hazel Grove to Manchester,Evening off-peak,E01005866,27.0,308.5699999999997,68,0.5665345199999995,170.0
133230 -> 133232 | Hazel Grove to Manchester | Night/Early morning off-peak,133230 -> 133232,133230,133232,Hazel Grove to Manchester,Night/Early morning off-peak,E01005866,36.900000000000006,308.5699999999997,68,0.7742638439999994,73.0
133230 -> 133232 | Hazel Grove to Manchester | PM interpeak,133230 -> 133232,133230,133232,Hazel Grove to Manchester,PM interpeak,E01005866,19.10000000000001,308.5699999999997,68,0.4007707159999998,298.0
133230 -> 133232 | Hazel Grove to Manchester | PM peak,133230 -> 133232,133230,133232,Hazel Grove to Manchester,PM peak,E01005866,28.0,308.5699999999997,68,0.5875172799999995,149.0
133232 -> 133234 | Hazel Grove to Manchester | AM interpeak,133232 -> 133234,133232,133234,Hazel Grove to Manchester,AM interpeak,E01005869,12.0,236.08100000000013,68,0.1926420960000001,522.0
133232 -> 133234 | Hazel Grove to Manchester | AM peak,133232 -> 133234,133232,133234,Hazel Grove to Manchester,AM peak,E01005869,19.400000000000006,236.08100000000013,68,0.31143805520000023,403.0
133232 -> 133234 | Hazel Grove to Manchester | Evening off-peak,133232 -> 133234,133232,133234,Hazel Grove to Manchester,Evening off-peak,E01005869,27.0,236.08100000000013,68,0.43344471600000023,268.0
133232 -> 133234 | Hazel Grove to Manchester | Night/Early morning off-peak,133232 -> 133234,133232,133234,Hazel Grove to Manchester,Night/Early morning off-peak,E01005869,36.900000000000006,236.08100000000013,68,0.5923744452000004,147.0
133232 -> 133234 | Hazel Grove to Manchester | PM interpeak,133232 -> 133234,133232,133234,Hazel Grove to Manchester,PM interpeak,E01005869,20.0,236.08100000000013,68,0.3210701600000002,395.0
133232 -> 133234 | Hazel Grove to Manchester | PM peak,133232 -> 133234,133232,133234,Hazel Grove to Manchester,PM peak,E01005869,27.799999999999997,236.08100000000013,68,0.44628752240000025,256.0
133234 -> 48686 | Hazel Grove to Manchester | AM interpeak,133234 -> 48686,133234,48686,Hazel Grove to Manchester,AM interpeak,E01005869,12.0,275.3989999999999,68,0.2247255839999999,493.0
133234 -> 48686 | Hazel Grove to Manchester | AM peak,133234 -> 48686,133234,48686,Hazel Grove to Manchester,AM peak,E01005869,19.0,275.39899999999943,68,0.3558155079999993,352.0
133234 -> 48686 | Hazel Grove to Manchester | Evening off-peak,133234 -> 48686,133234,48686,Hazel Grove to Manchester,Evening off-peak,E01005869,27.299999999999997,275.39799999999923,68,0.5112488471999985,212.0
133234 -> 48686 | Hazel Grove to Manchester | Night/Early morning off-peak,133234 -> 48686,133234,48686,Hazel Grove to Manchester,Night/Early morning off-peak,E01005869,38.80000000000001,275.39899999999943,68,0.7266127215999988,84.0
133234 -> 48686 | Hazel Grove to Manchester | PM interpeak,133234 -> 48686,133234,48686,Hazel Grove to Manchester,PM interpeak,E01005869,20.0,275.39899999999943,68,0.37454263999999926,326.0
133234 -> 48686 | Hazel Grove to Manchester | PM peak,133234 -> 48686,133234,48686,Hazel Grove to Manchester,PM peak,E01005869,27.700000000000017,275.39899999999943,68,0.5187415563999992,207.0
133236 -> 133230 | Hazel Grove to Manchester | AM interpeak,133236 -> 133230,133236,133230,Hazel Grove to Manchester,AM interpeak,E01005866,12.0,271.4540000000002,68,0.22150646400000013,496.0
133236 -> 133230 | Hazel Grove to Manchester | AM peak,133236 -> 133230,133236,133230,Hazel Grove to Manchester,AM peak,E01005866,22.400000000000006,271.4539999999997,68,0.41347873279999964,280.0
133236 -> 133230 | Hazel Grove to Manchester | Evening off-peak,133236 -> 133230,133236,133230,Hazel Grove to Manchester,Evening off-peak,E01005866,26.0,271.4539999999997,68,0.4799306719999995,230.0
133236 -> 133230 | Hazel Grove to Manchester | Night/Early morning off-peak,133236 -> 133230,133236,133230,Hazel Grove to Manchester,Night/Early morning off-peak,E01005866,35.80000000000001,271.4539999999997,68,0.6608276175999995,108.0
133236 -> 133230 | Hazel Grove to Manchester | PM interpeak,133236 -> 133230,133236,133230,Hazel Grove to Manchester,PM interpeak,E01005866,19.10000000000001,271.4539999999997,68,0.35256445519999985,358.0
133236 -> 133230 | Hazel Grove to Manchester | PM peak,133236 -> 133230,133236,133230,Hazel Grove to Manchester,PM peak,E01005866,27.0,271.4539999999997,68,0.49838954399999946,217.0
134130 -> 135615 | Hazel Grove to Manchester | AM interpeak,134130 -> 135615,134130,135615,Hazel Grove to Manchester,AM interpeak,E01005797,17.0,237.61000000000013,68,0.27467716000000014,436.0
134130 -> 135615 | Hazel Grove to Manchester | AM peak,134130 -> 135615,134130,135615,Hazel Grove to Manchester,AM peak,E01005797,32.0,237.61000000000013,68,0.5170393600000003,210.0
134130 -> 135615 | Hazel Grove to Manchester | Evening off-peak,134130 -> 135615,134130,135615,Hazel Grove to Manchester,Evening off-peak,E01005797,15.0,237.61000000000013,68,0.24236220000000014,468.0
134130 -> 135615 | Hazel Grove to Manchester | Night/Early morning off-peak,134130 -> 135615,134130,135615,Hazel Grove to Manchester,Night/Early morning off-peak,E01005797,25.799999999999997,237.61000000000013,68,0.4168629840000002,279.0
134130 -> 135615 | Hazel Grove to Manchester | PM interpeak,134130 -> 135615,134130,135615,Hazel Grove to Manchester,PM interpeak,E01005797,21.0,237.60950000000003,68,0.339306366,374.0
134130 -> 135615 | Hazel Grove to Manchester | PM peak,134130 -> 135615,134130,135615,Hazel Grove to Manchester,PM peak,E01005797,20.799999999999997,237.61000000000013,68,0.33607558400000015,378.0
134150 -> 135630 | Hazel Grove to Manchester | AM interpeak,134150 -> 135630,134150,135630,Hazel Grove to Manchester,AM interpeak,E01005838,14.899999999999999,237.07299999999987,68,0.24020236359999983,471.0
134150 -> 135630 | Hazel Grove to Manchester | AM peak,134150 -> 135630,134150,135630,Hazel Grove to Manchester,AM peak,E01005838,18.300000000000004,237.07299999999987,68,0.29501364119999995,417.0
134150 -> 135630 | Hazel Grove to Manchester | Evening off-peak,134150 -> 135630,134150,135630,Hazel Grove to Manchester,Evening off-peak,E01005838,9.600000000000009,237.07299999999987,68,0.15476125440000005,565.0
134150 -> 135630 | Hazel Grove to Manchester | Night/Early morning off-peak,134150 -> 135630,134150,135630,Hazel Grove to Manchester,Night/Early morning off-peak,E01005838,12.0,237.07299999999987,68,0.19345156799999988,520.0
134150 -> 135630 | Hazel Grove to Manchester | PM interpeak,134150 -> 135630,134150,135630,Hazel Grove to Manchester,PM interpeak,E01005838,16.4,237.07299999999987,68,0.2643838095999998,445.0
134150 -> 135630 | Hazel Grove to Manchester | PM peak,134150 -> 135630,134150,135630,Hazel Grove to Manchester,PM peak,E01005838,16.199999999999996,237.07299999999987,68,0.26115961679999977,450.0
134160 -> 134461 | Hazel Grove to Manchester | AM interpeak,134160 -> 134461,134160,134461,Hazel Grove to Manchester,AM interpeak,E01005917,17.0,236.89900000000034,68,0.2738552440000004,439.0
134160 -> 134461 | Hazel Grove to Manchester | AM peak,134160 -> 134461,134160,134461,Hazel Grove to Manchester,AM peak,E01005917,29.0,236.89900000000034,68,0.4671648280000007,244.0
134160 -> 134461 | Hazel Grove to Manchester | Evening off-peak,134160 -> 134461,134160,134461,Hazel Grove to Manchester,Evening off-peak,E01005917,19.0,236.89900000000034,68,0.30607350800000044,407.0
