segment_id,stop_id,next_stop_id,Direction,detailed_time_period,LSOA21CD,stop_name,next_stop_name,observations,median_distance_m,median_passengers,p90_passengers,p90_capacity_utilisation,p90_pmd_tkm,p90_capacity_pct,seated_headroom_p90,total_headroom_p90,hotspot_key
133001 -> 135632,133001,135632,Manchester to Hazel Grove,AM interpeak,E01005869,McVities,Langdale Road,193,252.27700000000004,16.0,25.0,0.25,0.42887090000000005,25.0,48.0,75.0,133001 -> 135632 | Manchester to Hazel Grove | AM interpeak
133001 -> 135632,133001,135632,Manchester to Hazel Grove,AM peak,E01005869,McVities,Langdale Road,108,252.27700000000004,28.0,69.3,0.693,1.1888301348,69.3,3.700000000000003,30.700000000000003,133001 -> 135632 | Manchester to Hazel Grove | AM peak
133001 -> 135632,133001,135632,Manchester to Hazel Grove,Evening off-peak,E01005869,McVities,Langdale Road,145,252.27700000000004,7.0,14.0,0.14,0.240167704,14.000000000000002,59.0,86.0,133001 -> 135632 | Manchester to Hazel Grove | Evening off-peak
133001 -> 135632,133001,135632,Manchester to Hazel Grove,Night/Early morning off-peak,E01005869,McVities,Langdale Road,72,252.27700000000004,14.0,26.0,0.26,0.44602573600000006,26.0,47.0,74.0,133001 -> 135632 | Manchester to Hazel Grove | Night/Early morning off-peak
133001 -> 135632,133001,135632,Manchester to Hazel Grove,PM interpeak,E01005869,McVities,Langdale Road,95,252.27700000000004,28.0,46.60000000000001,0.4660000000000001,0.7994153576000003,46.60000000000001,26.39999999999999,53.39999999999999,133001 -> 135632 | Manchester to Hazel Grove | PM interpeak
133001 -> 135632,133001,135632,Manchester to Hazel Grove,PM peak,E01005869,McVities,Langdale Road,153,252.27700000000004,28.0,40.0,0.4,0.6861934400000002,40.0,33.0,60.0,133001 -> 135632 | Manchester to Hazel Grove | PM peak
133049 -> 135665,133049,135665,Manchester to Hazel Grove,AM interpeak,E01005874,Brentnall Street,Longshut Lane,144,214.71799999999894,16.0,27.0,0.27,0.39422224799999805,27.0,46.0,73.0,133049 -> 135665 | Manchester to Hazel Grove | AM interpeak
133049 -> 135665,133049,135665,Manchester to Hazel Grove,AM peak,E01005874,Brentnall Street,Longshut Lane,102,214.71799999999894,14.0,41.900000000000006,0.41900000000000004,0.611774525599997,41.900000000000006,31.099999999999994,58.099999999999994,133049 -> 135665 | Manchester to Hazel Grove | AM peak
133049 -> 135665,133049,135665,Manchester to Hazel Grove,Evening off-peak,E01005874,Brentnall Street,Longshut Lane,110,214.71799999999894,6.0,11.0,0.11,0.16060906399999922,11.0,62.0,89.0,133049 -> 135665 | Manchester to Hazel Grove | Evening off-peak
133049 -> 135665,133049,135665,Manchester to Hazel Grove,Night/Early morning off-peak,E01005874,Brentnall Street,Longshut Lane,85,214.71799999999894,10.0,15.600000000000009,0.15600000000000008,0.227772854399999,15.600000000000009,57.39999999999999,84.39999999999999,133049 -> 135665 | Manchester to Hazel Grove | Night/Early morning off-peak
133049 -> 135665,133049,135665,Manchester to Hazel Grove,PM interpeak,E01005874,Brentnall Street,Longshut Lane,72,214.71799999999894,17.5,30.0,0.3,0.4380247199999978,30.0,43.0,70.0,133049 -> 135665 | Manchester to Hazel Grove | PM interpeak
133049 -> 135665,133049,135665,Manchester to Hazel Grove,PM peak,E01005874,Brentnall Street,Longshut Lane,109,214.71799999999894,14.0,24.400000000000006,0.24400000000000005,0.3562601055999983,24.400000000000006,48.599999999999994,75.6,133049 -> 135665 | Manchester to Hazel Grove | PM peak
133230 -> 133232,133230,133232,Hazel Grove to Manchester,AM interpeak,E01005866,St Thomas Church,Milwain Drive,191,308.5690000000004,7.0,12.0,0.12,0.25179311999999976,12.0,61.0,88.0,133230 -> 133232 | Hazel Grove to Manchester | AM interpeak
133230 -> 133232,133230,133232,Hazel Grove to Manchester,AM peak,E01005866,St Thomas Church,Milwain Drive,127,308.5699999999997,11.0,21.0,0.21,0.4406379599999996,21.0,52.0,79.0,133230 -> 133232 | Hazel Grove to Manchester | AM peak
133230 -> 133232,133230,133232,Hazel Grove to Manchester,Evening off-peak,E01005866,St Thomas Church,Milwain Drive,119,308.5699999999997,18.0,27.0,0.27,0.5665345199999995,27.0,46.0,73.0,133230 -> 133232 | Hazel Grove to Manchester | Evening off-peak
133230 -> 133232,133230,133232,Hazel Grove to Manchester,Night/Early morning off-peak,E01005866,St Thomas Church,Milwain Drive,82,308.5699999999997,21.0,36.900000000000006,0.36900000000000005,0.7742638439999995,36.900000000000006,36.099999999999994,63.099999999999994,133230 -> 133232 | Hazel Grove to Manchester | Night/Early morning off-peak
133230 -> 133232,133230,133232,Hazel Grove to Manchester,PM interpeak,E01005866,St Thomas Church,Milwain Drive,100,308.5699999999997,11.5,19.10000000000001,0.1910000000000001,0.40077057999999993,19.10000000000001,53.89999999999999,80.89999999999999,133230 -> 133232 | Hazel Grove to Manchester | PM interpeak
133230 -> 133232,133230,133232,Hazel Grove to Manchester,PM peak,E01005866,St Thomas Church,Milwain Drive,143,308.5699999999997,18.0,28.0,0.28,0.5875172799999995,28.000000000000004,45.0,72.0,133230 -> 133232 | Hazel Grove to Manchester | PM peak
133232 -> 133234,133232,133234,Hazel Grove to Manchester,AM interpeak,E01005869,Milwain Drive,McVities,192,236.08100000000013,7.0,12.0,0.12,0.19264209599999935,12.0,61.0,88.0,133232 -> 133234 | Hazel Grove to Manchester | AM interpeak
133232 -> 133234,133232,133234,Hazel Grove to Manchester,AM peak,E01005869,Milwain Drive,McVities,127,236.08100000000013,11.0,19.400000000000006,0.19400000000000006,0.3114380552000003,19.400000000000006,53.599999999999994,80.6,133232 -> 133234 | Hazel Grove to Manchester | AM peak
133232 -> 133234,133232,133234,Hazel Grove to Manchester,Evening off-peak,E01005869,Milwain Drive,McVities,118,236.08100000000013,18.0,27.0,0.27,0.43344471600000023,27.0,46.0,73.0,133232 -> 133234 | Hazel Grove to Manchester | Evening off-peak
133232 -> 133234,133232,133234,Hazel Grove to Manchester,Night/Early morning off-peak,E01005869,Milwain Drive,McVities,82,236.08100000000013,21.5,36.900000000000006,0.36900000000000005,0.5923744452000004,36.900000000000006,36.099999999999994,63.099999999999994,133232 -> 133234 | Hazel Grove to Manchester | Night/Early morning off-peak
133232 -> 133234,133232,133234,Hazel Grove to Manchester,PM interpeak,E01005869,Milwain Drive,McVities,100,236.08100000000013,11.0,20.0,0.2,0.3210701600000002,20.0,53.0,80.0,133232 -> 133234 | Hazel Grove to Manchester | PM interpeak
133232 -> 133234,133232,133234,Hazel Grove to Manchester,PM peak,E01005869,Milwain Drive,McVities,143,236.08100000000013,18.0,27.799999999999997,0.27799999999999997,0.4462875224000002,27.799999999999997,45.2,72.2,133232 -> 133234 | Hazel Grove to Manchester | PM peak
133234 -> 48686,133234,48686,Hazel Grove to Manchester,AM interpeak,E01005869,McVities,Lloyd Road,192,275.3989999999999,7.0,12.0,0.12,0.22472476799999938,12.0,61.0,88.0,133234 -> 48686 | Hazel Grove to Manchester | AM interpeak
133234 -> 48686,133234,48686,Hazel Grove to Manchester,AM peak,E01005869,McVities,Lloyd Road,127,275.39899999999943,11.0,19.0,0.19,0.3558142159999991,19.0,54.0,81.0,133234 -> 48686 | Hazel Grove to Manchester | AM peak
