segment_id,stop_id,next_stop_id,Direction,detailed_time_period,LSOA21CD,stop_name,next_stop_name,observations,median_distance_m,median_passengers,p90_passengers,p90_capacity_utilisation,p90_pmd_tkm,p90_capacity_pct,seated_headroom_p90,total_headroom_p90,hotspot_key
48680 -> 134267,48680,134267,Manchester to Hazel Grove,AM peak,E01005222,Broom Lane,Crossley Road,109,522.777,29.0,72.4,0.7240000000000001,2.5737357264000003,72.4,0.5999999999999943,27.599999999999994,48680 -> 134267 | Manchester to Hazel Grove | AM peak
50442 -> 48833,50442,48833,Manchester to Hazel Grove,AM peak,E01005232,Longsight Library & Learning Centre,Slade Lane,111,504.5060000000003,25.0,56.0,0.56,1.9211588480000013,56.00000000000001,17.0,44.0,50442 -> 48833 | Manchester to Hazel Grove | AM peak
48680 -> 134267,48680,134267,Manchester to Hazel Grove,PM interpeak,E01005222,Broom Lane,Crossley Road,96,522.777,31.0,48.5,0.485,1.7241185460000001,48.5,24.5,51.5,48680 -> 134267 | Manchester to Hazel Grove | PM interpeak
135682 -> 135680,135682,135680,Manchester to Hazel Grove,AM peak,E01005916,Warwick Road,Heaton Road,107,377.97300000000087,24.0,62.400000000000006,0.6240000000000001,1.603815033600004,62.40000000000001,10.599999999999994,37.599999999999994,135682 -> 135680 | Manchester to Hazel Grove | AM peak
135632 -> 135678,135632,135678,Manchester to Hazel Grove,AM peak,E01005866,Langdale Road,Manchester Road,107,333.2330000000002,27.0,67.80000000000001,0.6780000000000002,1.536337423200001,67.80000000000001,5.199999999999989,32.19999999999999,135632 -> 135678 | Manchester to Hazel Grove | AM peak
48837 -> 48657,48837,48657,Manchester to Hazel Grove,AM peak,E01034137,East Road,Longden Road,112,377.8609999999999,28.5,58.900000000000006,0.5890000000000001,1.5134088771999994,58.900000000000006,14.099999999999994,41.099999999999994,48837 -> 48657 | Manchester to Hazel Grove | AM peak
48680 -> 134267,48680,134267,Manchester to Hazel Grove,PM peak,E01005222,Broom Lane,Crossley Road,151,522.777,30.0,41.0,0.41,1.457502276,41.0,32.0,59.0,48680 -> 134267 | Manchester to Hazel Grove | PM peak
135679 -> 135682,135679,135682,Manchester to Hazel Grove,AM peak,E01005863,Brackley Road,Warwick Road,107,331.53299999999945,25.0,64.0,0.64,1.4428316159999979,64.0,9.0,36.0,135679 -> 135682 | Manchester to Hazel Grove | AM peak
134397 -> 134378,134397,134378,Manchester to Hazel Grove,AM peak,E01033947,Mersey Square,Grand Central,112,367.15399999999863,18.5,56.70000000000002,0.5670000000000002,1.4155989623999952,56.70000000000002,16.299999999999983,43.29999999999998,134397 -> 134378 | Manchester to Hazel Grove | AM peak
135678 -> 135681,135678,135681,Manchester to Hazel Grove,AM peak,E01005866,Manchester Road,Heaton Moor Road,107,313.3019999999997,26.0,66.4,0.6640000000000001,1.4146211903999988,66.40000000000002,6.599999999999994,33.599999999999994,135678 -> 135681 | Manchester to Hazel Grove | AM peak
50442 -> 48833,50442,48833,Manchester to Hazel Grove,PM interpeak,E01005232,Longsight Library & Learning Centre,Slade Lane,96,504.5060000000003,28.0,41.0,0.41,1.4065627280000008,41.0,32.0,59.0,50442 -> 48833 | Manchester to Hazel Grove | PM interpeak
50442 -> 48833,50442,48833,Manchester to Hazel Grove,PM peak,E01005232,Longsight Library & Learning Centre,Slade Lane,153,504.5060000000003,27.0,40.80000000000001,0.4080000000000001,1.3997014464000013,40.80000000000001,32.19999999999999,59.19999999999999,50442 -> 48833 | Manchester to Hazel Grove | PM peak
135685 -> 134397,135685,134397,Manchester to Hazel Grove,AM peak,E01005917,Kingsgate,Mersey Square,102,332.8119999999999,21.0,58.70000000000002,0.5870000000000002,1.3284523791999996,58.70000000000002,14.299999999999983,41.29999999999998,135685 -> 134397 | Manchester to Hazel Grove | AM peak
50438 -> 50442,50438,50442,Manchester to Hazel Grove,AM peak,E01005239,Plymouth Grove,Longsight Library & Learning Centre,112,407.18499999999995,23.0,47.900000000000006,0.47900000000000004,1.326282982,47.900000000000006,25.099999999999994,52.099999999999994,50438 -> 50442 | Manchester to Hazel Grove | AM peak
48657 -> 48663,48657,48663,Manchester to Hazel Grove,AM peak,E01034137,Longden Road,Portville Road,110,305.85000000000036,30.5,63.20000000000002,0.6320000000000002,1.3144209600000019,63.200000000000024,9.799999999999983,36.79999999999998,48657 -> 48663 | Manchester to Hazel Grove | AM peak
