segment_id,stop_id,next_stop_id,Direction,detailed_time_period,LSOA21CD,stop_name,next_stop_name,observations,median_distance_m,median_passengers,p90_passengers,p90_capacity_utilisation,p90_pmd_tkm,p90_capacity_pct,seated_headroom_p90,total_headroom_p90,hotspot_key
48651 -> 48677,48651,48677,Manchester to Hazel Grove,AM peak,E01005221,Delamere Road,Crayfield Road,110,191.53700000000026,30.0,76.10000000000001,0.7610000000000001,0.9911656676000015,76.10000000000001,-3.1000000000000085,23.89999999999999,48651 -> 48677 | Manchester to Hazel Grove | AM peak
48669 -> 48651,48669,48651,Manchester to Hazel Grove,AM peak,E01005221,Albert Road,Delamere Road,110,202.44700000000012,31.0,76.0,0.76,1.0462460960000006,76.0,-3.0,24.0,48669 -> 48651 | Manchester to Hazel Grove | AM peak
48677 -> 48680,48677,48680,Manchester to Hazel Grove,AM peak,E01005222,Crayfield Road,Broom Lane,110,199.52700000000004,30.0,74.10000000000001,0.7410000000000001,1.0053766476000003,74.10000000000001,-1.1000000000000085,25.89999999999999,48677 -> 48680 | Manchester to Hazel Grove | AM peak
48680 -> 134267,48680,134267,Manchester to Hazel Grove,AM peak,E01005222,Broom Lane,Crossley Road,109,522.777,29.0,72.4,0.7240000000000001,2.5737357264000003,72.4,0.5999999999999943,27.599999999999994,48680 -> 134267 | Manchester to Hazel Grove | AM peak
48642 -> 48669,48642,48669,Manchester to Hazel Grove,AM peak,E01005221,Carrill Grove,Albert Road,109,204.14199999999983,31.0,72.0,0.72,0.9994792319999991,72.0,1.0,28.0,48642 -> 48669 | Manchester to Hazel Grove | AM peak
133001 -> 135632,133001,135632,Manchester to Hazel Grove,AM peak,E01005869,McVities,Langdale Road,108,252.27700000000004,28.0,69.3,0.693,1.1888301348,69.3,3.700000000000003,30.700000000000003,133001 -> 135632 | Manchester to Hazel Grove | AM peak
134267 -> 133001,134267,133001,Manchester to Hazel Grove,AM peak,E01005869,Crossley Road,McVities,108,166.1189999999997,28.0,69.0,0.69,0.7794303479999986,69.0,4.0,31.0,134267 -> 133001 | Manchester to Hazel Grove | AM peak
48663 -> 48642,48663,48642,Manchester to Hazel Grove,AM peak,E01034138,Portville Road,Carrill Grove,110,184.83399999999983,30.5,68.10000000000001,0.6810000000000002,0.8559292871999993,68.10000000000002,4.8999999999999915,31.89999999999999,48663 -> 48642 | Manchester to Hazel Grove | AM peak
135632 -> 135678,135632,135678,Manchester to Hazel Grove,AM peak,E01005866,Langdale Road,Manchester Road,107,333.2330000000002,27.0,67.80000000000001,0.6780000000000002,1.536337423200001,67.80000000000001,5.199999999999989,32.19999999999999,135632 -> 135678 | Manchester to Hazel Grove | AM peak
135678 -> 135681,135678,135681,Manchester to Hazel Grove,AM peak,E01005866,Manchester Road,Heaton Moor Road,107,313.3019999999997,26.0,66.4,0.6640000000000001,1.4146211903999988,66.40000000000002,6.599999999999994,33.599999999999994,135678 -> 135681 | Manchester to Hazel Grove | AM peak
135681 -> 135679,135681,135679,Manchester to Hazel Grove,AM peak,E01005866,Heaton Moor Road,Brackley Road,107,272.9940000000006,26.0,64.60000000000002,0.6460000000000002,1.199208043200003,64.60000000000002,8.399999999999977,35.39999999999998,135681 -> 135679 | Manchester to Hazel Grove | AM peak
135679 -> 135682,135679,135682,Manchester to Hazel Grove,AM peak,E01005863,Brackley Road,Warwick Road,107,331.53299999999945,25.0,64.0,0.64,1.4428316159999979,64.0,9.0,36.0,135679 -> 135682 | Manchester to Hazel Grove | AM peak
48657 -> 48663,48657,48663,Manchester to Hazel Grove,AM peak,E01034137,Longden Road,Portville Road,110,305.85000000000036,30.5,63.20000000000002,0.6320000000000002,1.3144209600000019,63.200000000000024,9.799999999999983,36.79999999999998,48657 -> 48663 | Manchester to Hazel Grove | AM peak
135682 -> 135680,135682,135680,Manchester to Hazel Grove,AM peak,E01005916,Warwick Road,Heaton Road,107,377.97300000000087,24.0,62.400000000000006,0.6240000000000001,1.603815033600004,62.40000000000001,10.599999999999994,37.599999999999994,135682 -> 135680 | Manchester to Hazel Grove | AM peak
135680 -> 135683,135680,135683,Manchester to Hazel Grove,AM peak,E01005917,Heaton Road,Belmont Bridge,105,186.32200000000012,24.0,61.20000000000002,0.6120000000000002,0.7753976352000007,61.200000000000024,11.799999999999983,38.79999999999998,135680 -> 135683 | Manchester to Hazel Grove | AM peak
